X1, X2, Categoria 
25.03232824,  99.41990154,A
29.65776517, -80.85035532,B
22.44676389,  -3.11106695,A
 1.29999415,  99.69159841,B
 7.6034026 ,  26.89948294,A
29.82219307,  53.06166308,A
 5.72231702, -70.25720842,A
27.65126385,  61.46268205,A
26.54730009, -45.98197462,B
17.97424383,  65.83597874,B
 7.60489985, -75.14681035,B
 0.41009312, -54.05626241,B
19.94330024, -83.0543573 ,B
21.55054141, -80.98330207,B
26.86396743, -81.6439784 ,B
 6.63187404, -99.49878882,B
11.53649366, -35.68833888,B
16.57477487,  48.27438255,A
10.52316757, -98.89125974,B
17.12484401, -22.41243488,B

